run_id,model,method,task,metric_dimension,aug,think,strict_f1,strict_acc,lenient_f1,lenient_acc,n_total_rows,n_scored_rows,n_unknown,unknown_rate,unknown_row_indices,prediction_file,timestamp
031,Gemma3-12B,Zero-shot,MI,MI,None,N/A,0.558241,0.611524,0.776148,0.879182,538,538,0,0.0,,/WAVE/projects2/CSEN-346-Sp26/Group3/TutorMind/Scaling-Experiments/ZeroShot/Gemma3-12B/run031_mi_predictions.csv,2026-04-22T17:23:05
032,Gemma3-12B,Zero-shot,ML,ML,None,N/A,0.492044,0.609312,0.679496,0.785425,494,494,0,0.0,,/WAVE/projects2/CSEN-346-Sp26/Group3/TutorMind/Scaling-Experiments/ZeroShot/Gemma3-12B/run032_ml_predictions.csv,2026-04-22T17:23:13
033,Gemma3-12B,Zero-shot,PG,PG,None,N/A,0.530678,0.578947,0.713124,0.838057,494,494,0,0.0,,/WAVE/projects2/CSEN-346-Sp26/Group3/TutorMind/Scaling-Experiments/ZeroShot/Gemma3-12B/run033_pg_predictions.csv,2026-04-22T17:23:18
034,Gemma3-12B,Zero-shot,Act,Act,None,N/A,0.424631,0.435223,0.625758,0.724696,494,494,0,0.0,,/WAVE/projects2/CSEN-346-Sp26/Group3/TutorMind/Scaling-Experiments/ZeroShot/Gemma3-12B/run034_act_predictions.csv,2026-04-22T17:23:22
035,Gemma3-12B,Zero-shot,MT,MI,None,N/A,0.476275,0.783401,0.727951,0.842105,494,494,0,0.0,,/WAVE/projects2/CSEN-346-Sp26/Group3/TutorMind/Scaling-Experiments/ZeroShot/Gemma3-12B/run035_mt_predictions.csv,2026-04-22T17:23:28
035,Gemma3-12B,Zero-shot,MT,ML,None,N/A,0.441045,0.580972,0.603079,0.623482,494,494,0,0.0,,/WAVE/projects2/CSEN-346-Sp26/Group3/TutorMind/Scaling-Experiments/ZeroShot/Gemma3-12B/run035_mt_predictions.csv,2026-04-22T17:23:28
035,Gemma3-12B,Zero-shot,MT,PG,None,N/A,0.418281,0.392713,0.723365,0.809717,494,494,0,0.0,,/WAVE/projects2/CSEN-346-Sp26/Group3/TutorMind/Scaling-Experiments/ZeroShot/Gemma3-12B/run035_mt_predictions.csv,2026-04-22T17:23:28
035,Gemma3-12B,Zero-shot,MT,Act,None,N/A,0.432555,0.605263,0.677003,0.734818,494,494,0,0.0,,/WAVE/projects2/CSEN-346-Sp26/Group3/TutorMind/Scaling-Experiments/ZeroShot/Gemma3-12B/run035_mt_predictions.csv,2026-04-22T17:23:28
036,Gemma3-12B,LoRA,MI,MI,None,N/A,0.750048,0.869888,0.894779,0.936803,538,538,0,0.0,,/WAVE/projects2/CSEN-346-Sp26/Group3/TutorMind/Scaling-Experiments/LORA-Gemma3-12B/run036_mi_predictions.csv,2026-04-22T17:23:43
037,Gemma3-12B,LoRA,ML,ML,None,N/A,0.502154,0.734818,0.760453,0.781377,494,494,0,0.0,,/WAVE/projects2/CSEN-346-Sp26/Group3/TutorMind/Scaling-Experiments/LORA-Gemma3-12B/run037_ml_predictions.csv,2026-04-22T17:57:45
038,Gemma3-12B,LoRA,PG,PG,None,N/A,0.576248,0.702429,0.788959,0.856275,494,494,0,0.0,,/WAVE/projects2/CSEN-346-Sp26/Group3/TutorMind/Scaling-Experiments/LORA-Gemma3-12B/run038_pg_predictions.csv,2026-04-22T17:57:56
039,Gemma3-12B,LoRA,Act,Act,None,N/A,0.691997,0.775304,0.882821,0.890688,494,494,0,0.0,,/WAVE/projects2/CSEN-346-Sp26/Group3/TutorMind/Scaling-Experiments/LORA-Gemma3-12B/run039_act_predictions.csv,2026-04-22T18:42:42
